Sr. No.,News Items,Label
15,"پاپ دنیا کے بادشاہ مائیکل جیکسن کی مشہور ٹوپی کو نیلامی کیلئے پیش کیا جا رہا ہے، اسے 31 کروڑ روپے سے بھی زائد میں نیلام کیا جائےگا۔غیر ملکی میڈیا کے مطابق مشہور ڈانسر و گلوکار مائیکل جیکسن کی بلیک فیڈورا نامی ٹوپی اب نیلامی کیلئے تیار ہے۔",TRUE
16,"میئر کے الیکشن میں پی ٹی آئی حافظ نعیم کو سپورٹ کرے گی، اکرم چیمہ",TRUE
17,"روسی تیل کی قیمت چینی کرنسی میں ادا کی، مصدق ملک کی تصدیق",TRUE
18,"پاک روس سفارتی تعلقات کے 75 برس مکمل، وزرائے خارجہ کے پیغامات",TRUE
19,جماعت اسلامی کی پی ٹی آئی کے کیسز فوجی عدالتوں میں بھجوانے کی مخالفت,TRUE
20,عظمیٰ خان اراضی اسکینڈل: اینٹی کرپشن نے تحصیلدار کو گرفتار کرلیا,TRUE
21,پی ٹی آئی سندھ کے جنرل سیکریٹری مبین جتوئی نے عہدے سے استعفیٰ دے دیا,TRUE
22,"ایک فیصد اشرافیہ پاکستان کو کنٹرول کرتی ہے، مفتاح اسماعیل",TRUE
23,"الیکشن آگے بڑھانے کا فیصلہ پارلیمنٹ کو کرنا ہے، فضل الرحمان",TRUE 
24,"بھارت کے نوجوان معروف سوشل میڈیا اسٹار اور کامیڈین دیو راج پٹیل ٹریفک حادثے میں ہلاک ہو گئے۔بھارتی میڈیا کے مطابق دیو راج پٹیل ریاست چھتیس گڑھ کے علاقے رائے پور میں ایک ٹریفک حادثے میں ہلاک ہوئے۔مقامی پولیس کے مطابق دیو راج پٹیل اپنے دوست کے ساتھ بائیک پر سفر کر رہے تھے کہ پیچھے سے آنے والے تیز رفتار ٹرک نے انہیں ٹکر ماری، حادثے میں دیو راج پٹیل موقع پر ہی جان سے ہاتھ دھو بیٹھے جبکہ ان کے دوست کو شدید نوعیت کی چوٹیں آئیں۔",TRUE 
25,پاکستان ثقافتی اور تاریخی مقامات سے مالا مال ہے لیکن ان میں سے اکثر کو نظر انداز کیا جا رہا ہے۔ اور ملک کی معاشی بدحالی معاملات میں مدد نہیں کر رہی ہے۔,TRUE 
26,"پاکستان کی معاشی بدحالی کے ساتھ، غربت میں مبتلا افراد سب سے زیادہ متاثر ہو رہے ہیں۔ آئی ایم ایف سے 1.1 بلین ڈالر کے بیل آؤٹ میں طویل تاخیر کی وجہ سے ملک سنگین مالیاتی بحران کا شکار ہے۔",TRUE 
27,"اپوزیشن جماعت پاکستان تحریک انصاف (پی ٹی آئی) سے تعلق رکھنے والی ثانیہ نشتر اور غربت کے خاتمے پر وزیر اعظم خان کی سابق معاون نے دعویٰ کیا کہ 80 فیصد شیلٹر ہومز اور سوپ کچن نے کے پی اور بلوچستان کے علاوہ دیگر صوبوں میں آپریشنز کو نقصان پہنچایا ہے، جبکہ باقی میں کمی آئی ہے۔ ان کی سرگرمیاں تقریباً صفر ہو گئی ہیں۔",TRUE 
28,پاکستانی کسان زرعی ڈرون کو اپناتے ہیں۔ ان ڈرونز کے کسانوں کے لیے کئی فائدے ہیں۔ کیا وہ فصلوں کی پیداوار پر موسمیاتی تبدیلی کے اثرات کو کم کرنے میں مدد کر سکتے ہیں؟,TRUE 
29,"نئی دہلی، جو اسلام آباد پر ہندوستان کے زیر انتظام کشمیر میں اسلام پسندوں اور علیحدگی پسندوں کی پشت پناہی کا الزام لگاتی ہے، نے اس حملے کا الزام پاکستان پر لگایا۔",TRUE 
30,"پاکستان کے لیے بھارتی حکومت سے محفوظ فاصلہ برقرار رکھنا ضروری ہے۔ بھارت شنگھائی تعاون تنظیم میں پاکستان کے ساتھ شامل ہونے کے خواہاں نہیں تھا۔ اس وقت تک کسی پیش رفت کا کوئی امکان نہیں جب تک نئی دہلی اپنی کشمیر پالیسی پر نظر ثانی نہیں کرتا، مشرف زیدی، اسلام آباد میں مقیم سیاسی تجزیہ کار",TRUE 
31,اپریل 2021 میں تحریک لبیک پاکستان کے احتجاج کے دوران انکشاف ہوا کہ کل ہیش ٹیگز میں سے تقریباً 61 فیصد بھارت سے آئے,TRUE 
32,پاکستان کے سابق وزیر اعظم عمران خان کی حمایت کرنے والی خواتین کا کہنا ہے کہ خان کے آنے کے بعد ملک کی حکومت انہیں سیاست سے دور رکھنے کے لیے ہراساں اور تشدد کا استعمال کر رہی ہے۔,TRUE
33,"گزشتہ سال مون سون کی بارشوں اور سیلاب نے پاکستان کو تباہ کیا، جس میں 1700 سے زائد افراد ہلاک ہوئے، تقریباً 33 ملین افراد متاثر ہوئے اور تقریباً 80 لاکھ بے گھر ہوئے۔",TRUE
34,گووند دیو گری جی مہاراج رام مندر کی تعمیر کے لیے چندہ اکٹھا کرنے کے لیے سمرپن ندھی مہم کے ایک حصے کے طور پر ناگپور میں تھے۔,TRUE
35,"کورونا وائرس کی وجہ سے لاک ڈاؤن کی وجہ سے صنعتی سرگرمیوں میں خلل، گھر واپسی کے خواہشمند بے روزگار تارکین کا احتجاج اور اسپتال میں آگ - ان سب نے سال کے دوران گجرات کو خبروں میں رکھا",TRUE
36,"لاک ڈاؤن گجرات میں ایک انسانی المیے میں بدل گیا کیونکہ مہاجر مزدور، بے روزگار ہو گئے اور واپس آنے کے لیے بہت کم وسائل کے ساتھ چھوڑ کر اپنے آبائی مقامات کو جانے کا فیصلہ کیا۔ تارکین وطن مزدوروں کے اپنے آبائی سٹیٹ کو لوٹنے کے دردناک مناظر تھے…",TRUE
37,"راج کماریا اور منالی شاہ جنوبی ہندوستانی شادی کی منصوبہ بندی میں انقلاب لانے کی کوشش کر رہے ہیں The post کیلوگ گریڈ کے طالب علم، بوتھ ایم بی اے نے محبت کو ایک نئے منصوبے میں بدل دیا۔",TRUE
38,"بریگیڈیئر محمد عثمان 3 جولائی 1948 کو اس وقت انتقال کر گئے جب ایک توپ کا گولہ ان کے قریب گرا۔ انہیں بعد از مرگ مہا ویر چکر سے نوازا گیا، جو دوسری اعلیٰ ترین فوجی سجاوٹ ہے، اور ""نوشہرہ کا شیر"" کے لقب سے مشہور ہوا۔",TRUE
39,"ورشینی پرکاش، آندرس جمنیز،ہمیں اس کی ضرورت ہے کہ وہ عالمی موسمیاتی بحران پر قابو پانے اور ہوا، پانی اور زمینی آلودگیوں سے متاثر ہونے والی کمیونٹیز کے لیے انصاف کی بحالی کے لیے فوری اقدام کریں۔",TRUE
40,عامر خان نے ایک سینئر پاکستانی سیاستدان کو گلے لگانے کے بعد دوبارہ کوویڈ 19 کے ضوابط کی خلاف ورزی کی ہے جس نے صرف 48 گھنٹے بعد وائرس کے لئے مثبت تجربہ کیا۔ خان نے 19 دسمبر کو باکسنگ ایونٹ کے دوران عثمان بزدار کے ساتھ مصافحہ کیا اور تصویریں کھنچوائیں۔,TRUE
41,"اے پی کی رپورٹنگ کے مطابق، پاکستان میں مذہبی اقلیتوں کی تقریباً 1,000 لڑکیوں کو ہر سال اسلام قبول کرنے پر مجبور کیا جاتا ہے۔",TRUE
42,"پاکستان کے شمالی شہر سیالکوٹ میں فٹ بال کی کم از کم 1,000 فیکٹریاں ہیں جن میں تقریباً 60,000 افراد کام کرتے ہیں۔",TRUE
43,بلیک کیپس اور پاکستان کے درمیان پہلے ٹیسٹ کے چوتھے دن سے تمام ایکشن۔ ڈیلن کلیور کی طرف سے تیسرے دن کی رپورٹ: مچل سینٹنر کے جادو کے ایک ٹکڑے نے نیوزی لینڈ کو دوبارہ قابو میں کر دیا ,TRUE
44,"حالیہ دہائیوں میں، آسیان اکنامک کمیونٹی (AEC)، جو کہ 10 رکن ممالک میں 620 ملین سے زیادہ لوگوں کی نمائندگی کرتی ہے، نے تیزی سے سماجی و اقتصادی ترقی کا تجربہ کیا ہے۔ اس خوشحالی کی تقسیم اگرچہ یکساں نہیں رہی عدم مساوات بہت زیادہ ہے.",TRUE
45,چین کی اپنے جغرافیائی سیاسی عزائم کو آگے بڑھانے کی صلاحیت تیزی سے کم ہو رہی ہے۔ بھارت کے ساتھ اس کے تعلقات میں اس سے زیادہ یہ بات کہیں نظر نہیں آتی۔,TRUE
46,مفاہمت کی ہوا صرف اسرائیل اور عرب و مسلم ممالک کے تعلقات تک ہی محدود نہیں ہے بلکہ خود عرب ممالک کے درمیان بھی پھوٹ رہی ہے۔,TRUE
47,نومنتخب صدر چین کے بارے میں مضبوط خیالات رکھتے ہیں اور سلامتی کے بڑھتے ہوئے تعلقات کو آگے بڑھانے کے لیے ہندوستان کے تئیں اچھے طریقے سے پیش آتے ہیں۔,TRUE
48,بریگیڈیئر عثمان پاکستان کے ساتھ 1947-48 کی جنگ میں مارے جانے والے سب سے سینئر افسر تھے۔,TRUE
49,"اس سال آسٹریلیا اور امریکہ میں بڑے پیمانے پر آگ اور چین، ہندوستان اور پاکستان میں شدید سیلاب تھے",TRUE
50,دل دہلا دینے والی ڈرون فوٹیج پاکستان میں ایک ریلی کے دوران ایک پک اپ ٹرک کیمرہ مین کو کچلنے سے انچ کے فاصلے پر لڑھکتے ہوئے دکھاتی ہے۔ یہ ویڈیو دسمبر کے اوائل میں بلوچستان میں جھل مگسی جیپ ریلی 2020 میں شوٹ کی گئی تھی۔ اسے کوالیفائنگ کے دوران فلمایا گیا تھا,TRUE
51,"پاکستان ٹیلی کمیونیکیشن اتھارٹی (PTA) نے Google Inc اور Wikipedia کو دو پلیٹ فارمز کے ذریعے ""توہین آمیز مواد پھیلانے"" کے لیے نوٹس جاری کیے ہیں، یہ جمعہ کو سامنے آیا۔",TRUE
52,"فہیم اشرف 91 رنز بنا کر آؤٹ ہوئے، جو ان کا سب سے زیادہ ٹیسٹ سکور ہے، بے اوول میں تیسرے دن کا کھیل ختم ہونے سے عین قبل جب پاکستان 239 رنز پر ڈھیر ہو گیا، وہ ابھی بھی نیوزی لینڈ کے 431 رنز سے 192 رنز پیچھے ہے۔",TRUE
53,"معیشت، تجارت اور آبادی میں دنیا 2021 میں کچھ نئی بلندیوں کو چھو لے گی۔",TRUE
54,"عام ہلچل کے ایک سال میں، 2020 نے بھی دنیا بھر میں بڑے پیمانے پر احتجاج کو جنم دیا۔ اگرچہ کچھ مظاہروں میں جمہوری آزادیوں، خواتین کے حقوق، نسلی انصاف یا پولیس کی بربریت جیسے مانوس موضوعات سے نمٹا گیا، لیکن دوسروں کو پیچھے ہٹنے کی نئی وجوہات ملیں",TRUE
55,سیمر کمر کے تناؤ سے صحت یاب ہو گئے ہیں جس کی وجہ سے وہ باکسنگ ڈے ٹیسٹ سے باہر ہو گئے تھے۔,TRUE
56,نیوزی لینڈ کے فاسٹ باؤلر نیل ویگنر پاکستان کے خلاف پہلے ٹیسٹ کے تیسرے دن ٹوٹے ہوئے پیر کے ساتھ گیند کرنے کے باوجود 2-50 لے رہے ہیں۔,TRUE
57,یہ واقعہ ماؤنٹ مونگانوئی میں پاکستان کی پہلی اننگز کے دوران پیش آیا,TRUE
58,"ابھی تک تمام تر کوششوں کے باوجود سائنسدان کسی خلائی مخلوق یا ایلین کو تلاش نہیں کر سکے ہیں، البتہ اکثر مشتبہ اڑن طشتریاں نظر آنے کی رپورٹس ضرور سامنے آتی ہیں۔اس طرح کے ایک واقعے نے کچھ دن پہلے امریکی شہر لاس ویگاس کی پولیس کو پریشان کر دیا تھا۔مقامی پولیس کے ایک اہلکار کے باڈی کیم میں آسمان پر پراسرار سبز جھماکے ریکارڈ ہوئے تھے۔اس روشنی کو لوگوں نے علاقے میں مشتبہ اڑن طشتری سے جوڑ دیا۔",TRUE
59,"مرکزی ایجنسی نے نومبر میں پارا کو، J&K میں ڈسٹرکٹ ڈیولپمنٹ کونسل (DDC) انتخابات سے قبل، معطل ڈی وائی ایس پی دیویندر سنگھ کے حزب کے ساتھ روابط کی تحقیقات کے سلسلے میں گرفتار کیا۔",TRUE
60,"آئی اے ایف کے سربراہ نے وویکانند انٹرنیشنل فاؤنڈیشن کے زیر اہتمام ایک تقریب سے خطاب کرتے ہوئے کہا کہ اگرچہ خطے میں چینی فوج کی موجودگی کی طاقت سب کو معلوم ہے، لیکن اس کی فضائیہ تعیناتی بہت مضبوط ہے",TRUE
61,ٹیک ٹرانسپیرنسی پروجیکٹ کے ذریعے دریافت کی گئی دستاویزات میں بتایا گیا ہے کہ کس طرح سنکیانگ کے مسلم اکثریتی علاقے سے ہزاروں ایغور کارکنوں کو لینز ٹیکنالوجی کے لیے کام کرنے کے لیے بھیجا گیا تھا۔,TRUE
62,"دو دہائیوں سے زائد تنازعات اور سیاست، افغانستان میں طالبان کا کنٹرول احکام اور ضابطوں کا ایک پیچ بن گیا ہے، جس میں کچھ علاقوں میں معمولی اصلاحات دیکھی جا رہی ہیں۔ لیکن مجموعی طور پر، عسکریت پسند گروپ کی کمان کے مرکز میں خوف اور دھمکی برقرار ہے۔",TRUE
63,بلیک کیپس اور پاکستان کے درمیان پہلے ٹیسٹ کے پانچویں دن سے تمام ایکشن۔ ڈیلن کلیور کی طرف سے چوتھے دن کی رپورٹ: آرڈر کے اوپری حصے میں فوری وکٹوں نے نیوزی لینڈ کو پہلی پوزیشن سمیٹنے کے لیے پول پوزیشن پر پہنچا دیا ہے۔,TRUE
64,"اگرچہ COVID-19 نے کچھ صحافیوں کو فیلڈ میں فعال طور پر کام کرنے سے کنارہ کشی اختیار کرنے پر اکسایا، لیکن نئے اعداد و شمار بتاتے ہیں کہ تباہ کن وبائی امراض کے باوجود بھی رپورٹرز مارے جاتے رہے۔",TRUE
65,"21 سال کی عمر میں، آریہ راجندرن کو سرحد پار سے مداح ملے ہیں۔",TRUE
66,"پاکستان، جاپان اپنی سرزمین پر نئے کورونا وائرس کے کیسز تلاش کرتے ہیں۔",TRUE
67,دنیا کے امیر ترین شخص ایلون مسک کی کمپنی اسپیس ایکس نے 14 سالہ بچے کو سافٹ وئیر انجینئر کے طور پر بھرتی کرلیا ہے۔14 سالہ کائران کوازی امریکی ریاست کیلیفورنیا کی سانتا کلارا یونیورسٹی کے اسکول آف انجینئرنگ سے کالج ڈگری حاصل کرنے والا ہے۔اس بچے کو 17 جون کو گریجویشن ڈگری مل جائے گی اور اس طرح وہ اس یونیورسٹی کی 172 سالہ تاریخ کا کم عمر ترین گریجویٹ بن جائے گا۔دنیا میں سب سے کم عمری میں گریجویشن ڈگری حاصل کرنے والے افراد کی فہرست میں یہ بچہ 6 سے 9 نمبر کے درمیان ہوگا۔,TRUE
68,انسانی حقوق کے علمبرداروں کا کہنا ہے کہ وبائی مرض کے دوران پاکستانی لڑکیوں کو زبردستی اسلام قبول کرنے کی تعداد میں اضافہ ہوا ہے۔,TRUE
69,پڑوسیوں سے ایف ڈی آئی کے لیے حکومت کی منظوری کو لازمی قرار دینے والے قواعد بہاؤ پر وزن رکھتے ہیں۔,TRUE
70,نئی دہلی اپنی بحری افواج میں تیزی سے سرمایہ کاری جاری رکھے ہوئے ہے۔ یہاں آپ کو یاد رکھنے کی ضرورت ہے: بحری جہاز کے دنوں میں یہ نوٹ کیا گیا تھا کہ دنیا کی بحریہ لکڑی کے بحری جہاز اور لوہے کے آدمی سے بنی تھی,TRUE
71,وقت کی ضرورت ہے کہ اس علاقے کو کورنگا وائلڈ لائف سینکچری کی توسیع کا اعلان کیا جائے,TRUE
72,مئی کے اوائل میں مشرقی لداخ میں ہندوستان اور چین کے درمیان سرحدی کشیدگی شروع ہوگئی تھی۔,TRUE
73,"آسٹریلوی کرکٹرز پر ان کی میچ فیس کا 40 فیصد جرمانہ عائد کیا گیا ہے، اور بھارت کے خلاف سست اوور ریٹ کی وجہ سے ورلڈ ٹیسٹ چیمپئن شپ کے چار پوائنٹس حاصل کیے گئے ہیں۔",TRUE
74,ایپل کے ایک اعلیٰ سپلائر پر الزام لگایا گیا ہے کہ اس نے آئی فون کے لیے اسکرین بنانے کے لیے جبری مسلم مزدوروں کو استعمال کیا۔,TRUE
75,"اگست 2019 سے، جب جموں و کشمیر کو خصوصی درجہ دینے والے آرٹیکل 370 کو منسوخ کیا گیا تھا، دسمبر 2020 تک – 17 ماہ کے عرصے میں گزشتہ دو سالوں میں جنگ بندی کی 80 فیصد خلاف ورزیاں ہوئیں۔",TRUE
76,"نقصان، تاہم، 2018-19 کے مقابلے میں نمایاں طور پر کم تھا، کیونکہ ایئر انڈیا نے COVID-19 وبائی بیماری کے آغاز کے بعد سے بیرون ملک پھنسے ہوئے ہندوستانیوں کے بڑے پیمانے پر انخلا کا آپریشن کیا، جس کے نتیجے میں اس کی مالی کارکردگی میں ترتیب وار بہتری آئی ہے۔",TRUE
77,طالبان کی سرزمین میں رہنے والے یا کام کرنے والے لوگوں کے انٹرویوز ایک گورننگ فورس کو ظاہر کرتے ہیں جو معمولی تبدیلیاں کرنے کی صلاحیت رکھتے ہیں - لیکن ایک ایسی جو اسلامی قانون کی انتہائی تشریح میں جڑی ہوئی ہے۔,TRUE
78,"کوئٹہ، پاکستان - نامعلوم حملہ آوروں نے منگل کو ایک سیکورٹی گاڑی پر دستی بم پھینکا جب وہ جنوب مغربی پاکستان کے ایک قصبے سے گزر رہی تھی",TRUE
79,پولیس اور سرکاری حکام کا کہنا ہے کہ نامعلوم حملہ آوروں نے سیکیورٹی کی گاڑی پر دستی بم پھینکا جب وہ جنوب مغربی پاکستان کے ایک قصبے سے گزر رہی تھی۔,TRUE
80,"نامعلوم حملہ آوروں نے منگل کو جنوب مغربی پاکستان کے ایک قصبے سے گزرتے ہوئے سیکیورٹی کی گاڑی پر دستی بم پھینکا، جس سے کم از کم 14 راہگیر زخمی ہوگئے۔",TRUE
81,ہندوستانی فضائیہ کے سربراہ آر کے ایس بھدوریا نے کہا ہے کہ پاکستان چینی پالیسی کا پیادہ ہے اور امریکی فوجوں کے انخلاء کے بعد بیجنگ اپنی سرحدوں کو افغانستان میں داخل کرنے کے لیے استعمال کر سکتا ہے۔,TRUE
82,"رپورٹرز ودآؤٹ بارڈرز نے منگل کو بتایا کہ اس سال جنگی علاقوں سے باہر زیادہ صحافی مارے گئے، اور ان میں سے زیادہ تر کو جان بوجھ کر نشانہ بنایا گیا۔",TRUE
83,"چینی فضائیہ پی ایل اے کی حمایت میں لداخ تھیٹر میں بھاری تعداد میں تعینات: آئی اے ایف چیف ہیوی چینی میزائل، لداخ کے قریب ریڈار کی تعیناتی لیکن بھارت صورتحال سے نمٹنے کے لیے تیار ہے: ایئر چیف بھاداؤ۔",TRUE
84,باغات اور جنگلوں کے مقابلے میں اگر دہشت گرد رہائشی علاقوں میں چھپ جائیں تو انہیں فائدہ ہے۔,TRUE
85,نیوزی لینڈ پاکستان کے خلاف دو میچوں کی ٹیسٹ سیریز میں 1-0 کی برتری حاصل کرنے سے سات وکٹیں دور ہے۔,TRUE
86,"جیسا کہ کورونا وائرس کا بحران بدستور سنگین ہوتا جا رہا ہے، حکومت کو مہمان نوازی، تعلیم اور سفر سے متعلق تیزی سے سخت قوانین متعارف کرانے پر مجبور کیا جا رہا ہے۔",TRUE
87,"نئی دہلی: اسلام آباد اور بیجنگ کے درمیان بڑھتے ہوئے گٹھ جوڑ کے درمیان، ایئر چیف مارشل آر کے ایس بھدوریا نے منگل کو کہا کہ پاکستان چین کا پیادہ بن گیا ہے۔",TRUE
88,گزشتہ سال بھارت کی جانب سے کشمیر کی خصوصی حیثیت ختم کرنے کے بعد سے صحافیوں پر حملے کیے گئے اور آزادی صحافت کو سلب کیا گیا۔,TRUE
89,"ایک سال میں جس میں کورونا وائرس کی خبروں کا غلبہ ہے، ہم نے اپنی 20 اعلیٰ ماحولیاتی کہانیوں کی فہرست اکٹھی کی ہے۔",TRUE
90,"Factbox-COVID کی مختلف قسمیں، جو برطانیہ اور جنوبی افریقہ میں پائی جاتی ہیں، دنیا کا سفر کرتی ہیں  Reuters",TRUE
91,چین نے اسلام آباد کو قرضے کے طور پر سی پیک میں اربوں ڈالر کی سرمایہ کاری کی ہے اور پہلے ہی قرضوں میں ڈوبی پاکستانی انتظامیہ وہاں کی موجودہ مالی صورتحال کے مطابق سود کی ادائیگی کے لیے بہت زیادہ مالی دباؤ کا شکار ہو گی۔,TRUE
92,ٹم ساؤتھی نے پاکستان کے خلاف پہلے میچ میں پاکستان کے حارث سہیل کو آؤٹ کر کے اپنی 300ویں ٹیسٹ وکٹ حاصل کی۔,TRUE
93,ڈینیئل پرل کے اغواء کار کی حوالگی —  اگر احمد عمر سعید شیخ کو پاکستانی عدالت نے رہا کیا تو اسے امریکی انصاف کا سامنا کرنا ہوگا۔,TRUE
94,14 سال کی عمر میں نیہا کو زبردستی عیسائیت سے اسلام لایا گیا اور اس کی شادی ایک 45 سالہ شخص سے کی گئی جس کے بچے اس کی عمر سے دوگنا تھے۔,TRUE
95,ان کا یہ بیان وزیر اعظم کے اس بیان کے چند دن بعد آیا ہے کہ پی ڈی پی کے ڈی ڈی سی انتخابات کرانے سے انکار کے نتیجے میں بی جے پی نے پی ڈی پی کے ساتھ اتحاد ختم کرنے کا فیصلہ کیا۔,TRUE
96,"نیوزی لینڈ کے فاسٹ باؤلر کائل جیمیسن کو پاکستانی بلے باز فہیم اشرف کی طرف ""نامناسب اورخطرناک انداز میں گیند پھینکنے"" پر ان کی میچ فیس کا 25 فیصد جرمانہ عائد کیا گیا ہے۔",TRUE
97,پاکستان نیوز: نیہا کو وہ بھجن بہت پسند تھے جو اس کے چرچ کو موسیقی سے بھر دیتے تھے۔,TRUE
98,پاکستان نیوز: اسلام آباد: پاکستان نے منگل کے روز برطانیہ میں پائے جانے والے نئے کورونا وائرس کے مختلف قسم کے اپنے پہلے تصدیق شدہ کیسوں کی اطلاع دی جب اس نے اس تناؤ کی نشاندہی کی۔,TRUE
99,"ٹیکساس میں گلف آف میکسیکو  کے ساحلی علاقوں میں اچانک سے لاکھوں مردہ مچھلیاں نمودار ہو گئیں، ساحل سمندر مردہ مچھلیوں سے بھر گئے۔ساحلوں پر مردہ مچھلیاں نمودار ہونے کے بعد انتظامیہ نے سیاحوں کیلئے انتباہ جاری کرتے ہوئے انہیں ساحلوں کا رخ نہ کرنے کی ہدایات جاری کردی۔کوئینٹانا بیچ کاؤنٹی پارک کے حکام کے مطابق ٹیکساس کی برازوریا کاؤنٹی کی 64 کلومیٹر طویل ساحلی پٹی، گلف آف میکسیکو  میں سمندری لہروں کے ذریعے آنے والی، لاکھوں مردہ مچھلیوں سے بھر گئی ہے۔",TRUE
100,"انہوں نے ایک پارٹی تقریب سے خطاب کرتے ہوئے کہا، ""اگر قوانین کسانوں کو قبول نہیں ہیں، تو کیا وہ ان کے لیے فائدہ مند ہو سکتے ہیں۔ اگر آپ ایسے قوانین لاتے ہیں جو لوگوں کے لیے قابل قبول نہیں ہیں، تو آپ ملک کے آئین کی توہین کر رہے ہیں،"" انہوں نے ایک پارٹی تقریب سے خطاب کرتے ہوئے کہا۔",TRUE
101,"جب کہ پاکستان باسمتی چاول کو اپنی مصنوعات کے طور پر رجسٹر کرنے کے بھارتی اقدام کے خلاف یورپی یونین میں مقدمہ لڑ رہا ہے، لیکن یہ اجناس اب بھی ملک میں مقامی مصنوعات کے طور پر رجسٹرڈ نہیں ہے",TRUE
102,باسمتی چاول کو پاکستان کی پیداوار کے طور پر تحفظ دینے کا معاملہ اس وقت سامنے آیا جب بھارت نے اس سال ستمبر میں اس اجناس کی واحد ملکیت کا دعویٰ کرتے ہوئے یورپی یونین کو ایک درخواست جمع کرائی۔,TRUE
103,قوانین کا تقاضا ہے کہ بین الاقوامی منڈی میں کسی بھی پروڈکٹ کی رجسٹریشن کے لیے درخواست دینے سے پہلے اسے اس ملک کے جغرافیائی اشارے (GI) قوانین کے تحت محفوظ کیا جانا چاہیے۔,TRUE
104," خلاف ورزیوں میں سے، اگست 2019 سے جنگ بندی کی 1,565 خلاف ورزیاں ہوئیں، جب بھارتی حکومت نے جموں و کشمیر کو خصوصی حیثیت دینے والے آرٹیکل 370 کو منسوخ کر دیا اور سابقہ ریاست کو مرکز کے زیر انتظام علاقوں میں تقسیم کر دیا۔",TRUE
105,"10 انفرادی انعامات میں سے کوئی بھی نہ جیت کر، پاکستان واحد بڑی ٹیم ہے جس کی نمائندگی ایوارڈز میں نہیں کی گئی۔",TRUE
106,نئی دہلی - ہندوستان نے حالیہ ہفتوں میں برطانیہ سے واپس آنے والے چھ افراد کو کورونا وائرس کی ایک نئی شکل سے متاثر پایا ہے۔ منگل کے روز وزارت صحت نے ایک بیان میں کہا کہ تمام چھ مریضوں کو الگ تھلگ رکھا گیا تھا ,TRUE
107,ہندوستان نے حالیہ ہفتوں میں برطانیہ سے واپس آنے والے چھ افراد کو کورونا وائرس کی ایک نئی شکل سے متاثر پایا ہے۔,TRUE
108,پاکستان نے پیر کے روز برطانیہ سے پروازوں پر پابندی میں مزید ایک ہفتے کے لیے توسیع کر دی ہے. مبینہ طور پر بہت تیزی سے پھیلنے والے کورونا وائرس کے نئے قسم کے خدشے کے پیش نظر,TRUE
