Sr. No.	News Items	Label
28	???? ??? ??????? ????? ???? ????? ???? ???? ???	FAKE
29	??? ???? ????? ?? ????? ??? ?? ???? ?? ?????? ?? ???? ???? ????? ?? ?? ?? ??? ?????	FAKE
30	??? ?? 800 ??? ????? ???? ?? ???? ?? ????	FAKE
31	????? ????? ?? ????? ?? ?? ?? ????? ?? ????? ?? ??????? ???? ?? ????	FAKE
32	???? ??? ?? GCWUF ??? ?????? ?? ??? ??? ??? ????	FAKE
33	?????? ????? ??????? ????? ???? ??? '200 ?? ????? ???????' ???? ???? ?? ??? ???????? ???? ?? ????? ?? ????? ??????? ???? ??	FAKE
34	???????? F-16 ????? ??? ????? ?????? ?????? ?? ???? ???? ??? ??? ?? ???? ??? ???? ?????? ????????? ????? ??? ?????	FAKE
35	???? ????? ?? ???? ??? ?? ????? ????? ??????? ?? ??? ??? ?? ????? ?? ????? ?? ???	FAKE
36	???????? '?????? ???????' ?? ???? ???? ?? ??? ???? ?? ????? ????? ??? ????? ??? ?? ??? ??? ???	FAKE
37	????? ??? ?? ??? ?? ????? ?? ???? ??? ???????? ?? ??? ?? ??? ????	FAKE
38	???? ????? ??? ?? ??????? ?? ????? ????? ???? ???? ?? '?????' ?? ??? ??? ????	FAKE
39	"????? ???? '??? ???'? ??????? ???? ?? ???? ???? '??????' ?? ?????"	FAKE
40	???????? ???? ?? ?????? ??? ???? 76 ?? ?? ????	FAKE
41	??? ??? ??? ?? ??? ??? ?? ’?????‘ ???? ?? ???	FAKE
42	??? ??????? ?? ?????? ??? ??? 4 ??? ???? ??? ???? ??? ??? ????? ????? ?? ??? ??? ??? ? ???? ????? ????	FAKE
43	?????? ????????? ?????? ?? ??? ?? ????? ?? ????? ?? ????? ???? ????? ?? ????? ???	FAKE
44	??? ?? ?? ??? ?? ??? ??? ?? ?? ??????? ?? ????? ???? ?? ??????? ??? ?????? ???? ????? ?? ????? ??? ?????	FAKE
45	?? ??? ?? ?? ?? ?? ????? ?? ????? ???????? ??? ???? ???? ??? ????? ????? ?? ??? ??? ????? ??? ?? ???? ?? ???? ???? ?? ????????? ??????? ?? ??????? ?? ????? ??? ????	FAKE
46	???? ??? ? ?? ?????? ???? ?? 26 ???? ???? ?? ???? ?? ??	FAKE
47	????? ?????? ?? ??? ????? ???? ???? 20 ?? ???? ?? ???? ????? ?????	FAKE
48	????????? ????? ?? ???????? ????? ?? ?????? ??? 2 ???? ??? ?? ??? ?? ????	FAKE
49	?? ?? ?? ?? ???? ?? ???????? ??? ?? ?????? ??? ?? ???? ?????? ???? ?? ?????	FAKE
50	???????? ??????? ?? ??? ?????? ?? ????? ?? ???? ??? ???? ????? ?? ????? ?? ????? ?? ???? ??? ????? ?? ????	FAKE
51	????? ??? ?? ?????? ?? ????? ????? ??? ?? ???? ????	FAKE
52	??????? ??? ??? ?? ?? ?? ??? ????? ???? ????	FAKE
53	?????? ?? ??????? ????? ?? ??? ????? ?? ???? ???? ????? ?? ???? ??? ?????? ????? ???? ?????? ?? ????? ?? ?? ?? RTS ??? ????? ???? ?? ??? ???	FAKE
54	'??????????' ??????? ?? ????????	FAKE
55	???? ???? ???? ?? ??????? ?? ????? ?? ?? ????? ?? ???? ???? ???? ??????? ?? ?? ??????? ?? '????' ??	FAKE
56	 ????? ?? ?????? ???????? ???? ???	FAKE
57	????? ??? ????? ?? ???? ??? ???? ?????	FAKE
58	"???????? ????? ??????? ???? ?? ???? ????? ?????? ?? ???? ?? ??? ??? ?? '?????' ?? ?????? ?? ?? ?? ??? ?? ????? ?? ??? ??"	FAKE
59	????? ?????? ?? ????? ??? ?? ???? ???? ??? ???? ?? ???? ????? ????? ?????	FAKE
60	??? ?????? ????? ?? ???? ?? ????? ??? ??? ??? ?? ????? '????' ?????? ???? ????? ???????? ?? ???? ?? ??? ?????? ????? ?? ?? ?? ???? ??? ???	FAKE
61	?????? ???? ????? ???? ????? ????? ?? ??? ??? ???? ???? ???? ???? ????	FAKE
62	??? ?? ??? ???? ?? ???? ???? ?? ??? ???? ??? 	FAKE
63	????? ????? ?? ??? ?? ??????: '?? ???' ????? ?????? ??????? ???? ????	FAKE
64	??? ????? ????? ?? ???? ???? ?? ???? ??????? ???? ?? ?????	FAKE
65	????? ???? ??? ???? ????? ??? ????? ?? ???? ?? ????? ?? ??? ???? ????? ?? ??? ???? ?? ????? ?????	FAKE
66	???? ?????? ?? ???? ???? ?? ?? ?? ???? ?????? ?? ??? ????? ?? ????? ?????	FAKE
67	"?????? ?? ????? ?????? ?? ????? ???? ?? ???? ???????? ?? ???"	FAKE
68	????? ???? ?? 2 ???? ????? ?? ??? ??? ?? ???? ???? ????	FAKE
69	??????? ?? 33 ??? ???? ?? ?????? ?????	FAKE
70	?? ???? ?? ???? ?????? ????? ?????? ???? ???? ?? ???? ????? ?? ?????? ?? ???? ?? ????	FAKE
71	??????? ???? ?? ???? ?? ???? ????? ?? ????? ????? ?? ????? ?? ????	FAKE
72	??? ???? ?? ???? ??? ????? ?????? ?? ?? ????? ???? ?????	FAKE
73	????? ????: ???? ????? ?? ???? ???? ???? ?????? ?? ????? ???? ?????	FAKE
74	???? ????? ??? ???? ?? ???? ???? ?? ???? ????	FAKE
75	???????????? '?????' ?? ??? ?? - ???? ??? ?? ??????? ???? ????	FAKE
76	????? ?? ?? ???? ?? ?????? ?? ???? '???? ?????' ??????? ?? ?? ??? ?? ?? ???? ???	FAKE
77	????? ??? ?? ????? ?? ?? ?????? ???? ?? ????? ??? ?? ??? ?? ??? ????	FAKE
78	"??? ????? ?? ?????? QNA ?? '???? ?????' ?????? ?? ?????? ?? ??? ?? ???? ????"	FAKE
79	??? ????? ????????? ?? ???? ??? ????? ?? ????? ??? ??? ????	FAKE
80	????? ??? ??????? ???????	FAKE
81	"??? ???? ???? ???? ??? ?????? ???? ??? ???? ???? ???!! ??????? ???? ???"	FAKE
82	?????? ???? ?? ??? ?? ?????? ????? ????? ?? ??????? ?? ???? ???? ?? ????? ?? ????? ???? ??	FAKE
83	"?? ???? ???? ?????? ???? ???? ?? ??? ?? ??? ?? ??? ?? ?? ?? ??? ????? ?????? ?? ???? ?????"	FAKE
84	’????? ???????‘: ????? ???? ?? ??? ???? ?? ????? ????? ??? ??? ???? ???? ??? ????? ?? ????? ?? ???	FAKE
85	"????? ??? ???? ?? ??? ?? ??????? ?? ??????? ????? ???? ?????? ?????"	FAKE
86	?? ??? ?? ?? ????? ?? ???? ???? ??? ?? ???? ??? 	FAKE
87	??????? ????? ?? ?????? ????? ?? ??????? ???? ???? ??????? ?? ???? ??? ??? ??? ?? ????????? ??? ????? ?? ????	FAKE
88	??? ????: ??? ?? ??? ?? ????? ???? ?? KKR ?? ???? ??? ?? ????? ???? ???	FAKE
89	??????? ?? ???? ???? ??? ???? ????? ?? ??? ????? ?? ???? ?? ???? ????? ???? ?? ?? ??? ????? ???? ?????? ???? ?? ??? ?? ???? ?????? ??? ??? ????? ???? ?? ????? ??? ???? ??? ??? ?? ?? ????? ????? ????? ???? ??	FAKE
90	"????? ???????? ??? ?? ?? ?? ?? ?????? ?????? ?? ?????? ???????? ??? ?? 8 ?? ???? ?????? ???? ????? ?? ?? ?? ?? ?????? ?? ??? ???? ???? ???? ???? ???? ??? ?? ???? ?? ????? ??? ???? ?? ???? ???"	FAKE
91	"??????? ?? ????? ?? ???? ??? ???? ???????? ??? ??????? ???? ?????? ?? ???? ?? ?? ????? ?? ??? ???? ???? ????? ?? ??? ????? ?? ??? ?? ????? ?? ????? ?????? ???????? ?? ????? ?? ??? ???? ?? ??? ??? ????? ???? ?????? ???? ???? ???? ?? ????? ???? ?? ??? ????"	FAKE
92	??? ?? ???? ?????? ?? ???? ???? ??? ???? ???? ???? ?????? ?? ?????? ?? ????? ?? ????? ??? ???? ?? ?????? ?? ??? ???? ???? ?? ??? ??? ???? ????? ?? ?????? ?? ??? ??????? ????? ??? ?? ????? ?? ????? ??? ?????	FAKE
93	"??? ?? ???? ???? ??? ??? ??????? ?? ???? ??? ?????? ?? ????? ??? ????? ??? ????? ??? ??? ??? ?? ???? ??? ??? ????? ??????? ??????? ?? ???? ??????? ?????? ??? ???? ????? ???? ?? ??? ?????? ??? ??? ???"	FAKE
94	"??? ???????? ????? ???? ????? ????? ?????? ?? ???? ???? ????? ????? ?? ???? ???? ???? ?????? ?? ?????? ?? ??? ?? ??? ??? ??????? ?? ??? ??? ???? ? ???? ????? ?? ??? ?? ????? ???"	FAKE
95	???????? ????? ?? ?????? ????? ?? 2022 ?? ???? ???? ??? ?????? ????? ?? ????? ????	FAKE
96	"??? ?? ??? ?? ?? ????? ?? ?? ???? ?? ????? ???? ???? ??? ?? ???? ???? ?? ?????? ?? ??? AstraZeneca ?????? ????? ????? ?????? ?? ????? ?? ???? ??? ?? ??? ????????? ?? ????? ????? ?? ?????? ????? ?????? ?????? ?? ?? ??? ?? ?? ?????? ?? ??? ?? ???? ??? ??? ???"	FAKE
97	"??? ?? 2022 ?? ?? ??? ???? ?? ?? ??????? ?? ??? ????? ??? ???? ?? ???? ????? ????? ??? ???????? ?? ??? ?????? ?????? ?? ????? ??? ???? ???? ???? ?????? ??? ??????? ?? ????? ?? ??? ???? ??? ????? ??? ????"	FAKE
98	????? ?? ????? ??? ?? ????? ?? ????? ??? ?? ????? ??? ?? ??? ?? ??? ?? ??? ??? ?? ??? ???	FAKE
99	?????? ?? ?????? ??? ?? ?? ????? ????? ?? ???? ???? ?? ???? ?????? ????????? ??? ???? ????? ???? ???	FAKE
100	"???????? ?????? ????? ????? ???????? ??? ????? ??????? ?????? ???? ?? ????? ?? ?? ?? ?? ????????? ????? ?? ?? ?? ?? ????? ?? ??? ??? ????? ??? ?? ?????? ?? ???? ??? ??? ???? ??? ???"	FAKE
101	??????? ?? ????? ??? ??????? ?? ???? ???? ??? ????? ?? ??????? ?? ???? ????? ???	FAKE
102	????? ?? ???? ??????? ???? ??? ?? ??? ?? ??? ?? ?????? ?????? ???? ?? ???? ?????? ???? ??? ????? ?? ?????? ?? ??? ???? ??????? ??? ??? ?? ?? ??? ?? ????? ??? ?? ?? ???? ??? ??? ???? ???? ????? ?? ????? ????	FAKE
103	"?????? ?? ???? ???? ?? ???? ???? ?? 2001 ?? ???? ?????? ????? ?? ??? ???? ???? ???? ????????? ?? ?????? ?? ???? ???? ???????? ?? ?? ?????? ?? ?????? ??? ?? ?????? ?? ???? ?? ????? ?? ??? ???? ??? ??? ??? ?? ?? ???? ??? ???? ???? ??? ???? ?? ???? ??? ??? ???? ??? ???"	FAKE
104	???????? ?????? ?? ????? ?? ???? ????? ??? ????? ???? ????	FAKE
105	"??????? ?? ??? ???? ????? ????? ?? ????? ???? ??? ??? ???? ???????? ????? ??? ?? ????? ??? ??? ??????? ?? ??? ??? ???? ??????? ??? ?? ????? ???"	FAKE
106	"???????? ???? ?????? ?? ?? ???? ?? ?? ???? ????? ?? ????? ??? ?? ?? ?????? ??????? ??? ???? ???"	FAKE
107	???? ???? ???? ????? ??? ?? ????? ??? ??????? ????? ????? ?? ??? ??? ??????? ?? ?????? ?? ??? ?? AI ?? ???? ???? ??? ????? ??? ???? ? ???? ?? ?? ?? ?? ?????? ??? ?? ?? ??? ????	FAKE
108	???? ??????? ??? ?? ???? ????: ??????? ????? ?? ?? ????? ?? ??? ??? ?? ???? ???? ?? ??? ?????? ????? ???	FAKE
109	??????? ?? ???? ???? ???? ????? ??? ?? ??????? ????? ???? ?? ??? ????? ????? ?? ??	FAKE
110	??????? ?? ????? ???? ?? ???? ???????? ????? ??? ?? ??????? ?? ???? ???? ?? ????	FAKE
111	????? ??? '????? ????' ??? ??? ??	FAKE
112	???????? ??? ?????? ?? ???? AI ?? ???? ???? ????? ????? ?? ????	FAKE
113	????? ?? ???: ??? ??? ??? ???? ?????? ?? ?????? ????? ??? ???? ?? ??? ???? ???? ???	FAKE
114	"??????: ???? NYC ?? ?? ?????? ??? ?? ??? ???????? ?? ??? ??? ""???? ????"" ?? ??? ??? ???"	FAKE
115	?? ???? ????????? ??? ??????? ??????? ?? ??? ???????? ????? ?? ??? ???? ???	FAKE
116	????? ???? '???? ??? ???? ?? ???????' ?? ????? ?? ??? ????? ??? ????? ?? ??????? ???? ??	FAKE
117	???? ?? ??? ?????? ?? ?????? ????? ???? ?? ???? ?????? ?? ???? ?? ????	FAKE
118	16 ????? 1971 ?? ?? ?? ?? ??? ??? ?? ??? ?? ??? ??? ?? ???????? ??? ?? ?????? ?????? ?? ????? ?????? ??? ??? ????	FAKE
119	"??? ????????? ??? 27 ????? ?? ??? ????? ??? ??? ?? ?? ??? ??????? ??? ??? ?? ???? ???? ???? ????? ????? ?? ????? ??? ???????? ??? ??????? ?? ????? ?????? ?? ?????? ???? ????? ?? ???? ????? ?? ??? ?????? ??? ????? ?????? ????? ?? ????? ?????? ???? ??? ?? ?? ?????? ??? ????? ?? ??????? ?? ??? ???"	FAKE
120	"??? ??? ?? ???? ??????? ?? ???? ?? ????? ??? ?? ?? ""???? ??? ??? ??????? ????? ?? ?????? ???? ???? ?? ?? ??? ??????"" ???"	FAKE
121	"??? ???? ?? ??? ?? ??? ??? ???? ??? ???? ?? ?? ?? ??? ?? ?? ????? ?? ?? ???? ??????? ???? ???? ?? ??? ??? ??? ??: ""????? ?????? ????? ?? ???? ???? ??? ?? ???? ???? ?? ????? ???? ??""? ???? ?? ?? ???? ??? ??? ??? ???? ?? ??? ??? ????"	FAKE
122	?? ??? ??? ??? ??? ?? ?? ?? ???? ??????? ?? ???? ?? ???? ????? ??? ????????? ??????? ?? ??? ?? ?? ?? ?? ?? ????? ?? ???????? ????? ???? ??? ??? ??? ?????? ????? ?? ????????? ????? ?? ???? ???? ???? ?????? ?? ????? ?? ???? ???? ??? ???	FAKE
123	?????? ????? ???? ?????? ???? ????? ??? ???? ?? ??? ?? ?????? ???? ??? ????? ????? ????? ??? ????? ????? ?? ????? ???? ???? 24 ???? ?? ??? ??? ????? ??? ????? ?? ??? ?? ????? ??? ??? ??? ?? ????? ?? ????? ?? ?? ??? 500 ???? ???? ?? ????? ??? ???? ????	FAKE
124	?????? ??? ?? ???? ??? ?? ????????? ????? ????? ?? '??? ??????' ?? ??? ?? ??? ???? ?? ??????? ???? ???? ?????? ????? ?? ????????? ????? ?? ???? ???? ???? ?????? ?? ???? ??? ??? ??? ????? ???? ???	FAKE
125	????? ???????? ?? ???? ?? ???????? ?????? ?? ?????? ??? ???? ?? ????? ?? ??? ???? ??? ??????? ?? ??? ???? ????? ??? ????? ??? ?????? ??? ??? ????? ?? ???? ??? ????	FAKE
126	"24 ???? ?? ?? ??????? ????? ?? 2 ?? ???? ??? ???? ??? ??? ???? ?? ????? ?? ???? ??? ?? ????? ?? ??? ??? ???? ??? ??? ?? ??? ?? ?? ??? ????? ?? ???? ??? ????? ??? ?? ?? ???? ????"	FAKE
127	???? ??????? ?? ???? ?? 7 ???????? ?????? ?? ?????? ???? ?? ????? ???? ???? ???? ????? ???? ??? ??? ??? ?? ?? ??? ?? ????? ????? ?????? ?? ????? ?? ??? ???	FAKE
128	"??? ????? ?? ????? ?? ?? ???? ???? ????? ?? ??????? ?????? ???? ?? ???? ???? ??? ??? ??? ???? ????? ???? ?? ????? 2016 ?? PSB ?? ???? ????"	FAKE
129	??? ???? ?? ???? ????? ????? ???? ?? ??? ?? ?? ????? ??? ?? ???????? ????? ??? ?? ?????? ??? ????? ??? ?? ??? ??? ???? ????? ???? ???? ???? ??? ???? ?? ??? ?? ???? ??? ??????? ????	FAKE
130	??? ?? ?? ???? ?? ??? ??? ?? ???? ??? ?? ??? ??? ?? ??? ????? ?? ????? ??? ??? ?? ???? ???? ?? ?? ?? ?? ??? ?? ??????? ?? ??? ??? ????? ?? ?? ????? ??? ???? ???? ??? ?? ??? ???? ?????	FAKE
131	???? ??????? ???? ???? ?? ???? ?????? ??? ????? ?? ???? ??? ?????? ?? ???? ???? ?? ?? ????? ?? ???	FAKE
132	???? ???? ????? ??? ?? ??? ????? ????? ????? ????? ?? ?????? ?? ???? ?? ??????? ?? ??? ?? ?? ??? ?? ???? ????????? ?? ??? ???? ????? ??? ?? ??? ?? ?? ???? ???? ????? ??? ?? ???? ???? ???? ???? ??? ???? ????? ??? ?? ????? ????? ???	FAKE
133	24 ???? ?? ???????? ????? ??? ?? ???? ????? ?? ????? ????? ?? ????? ?? ???? ???? ??? ???? ????? ?? ??? ????? ????? ?? ?? ?? ??? ?? ?? ?? ???? ?? 34 ??? ??? ?? ?????	FAKE
134	???? ???? ????? ?? ???? ??? ??? ??? ???? ?? ?? ??? ?? ?? ??? ?? ??? ?? ?? ?? ???? ????? ?? ??????? ?? ??? ???? ????? ????? ????? ?? ??? ???? ????? ??? ?? ????? ???? ???? ????? ??? ?? ????? ????? ???? ?? ??? ?????? ????? ?? ???? ???? ?? ???? ???? ????? ?????? ???? ?? ???? ???? ????? ?? ???? ?? ???	FAKE
135	"???? ???? ?? ????????? ????? ??? ??? ?? ????? ????? ????/????? ???? ?? ??? ??? ?? ????????? ?? 5 ???? ???? ?? ??? ??? ???? ????? ???? ????? ????? ?? ?????? ????? ?? ??????? ?? ????? ?????? ???? ?? ??? ???? ?? ??? ?? 16% ?? ?? ?? ?? 5% ?? ??? ??? ?? ??? ????? ?? ???? ??????????"	FAKE
136	??? ??? ?? ???? ??????? ???? ???? ??? ?? ???????? ?? ?????? ?? ??????? ?? ?????? ??? ???? ?? ???? ?? ??? ??? ??? ????? ?? ?????? ???????? ????? ??? ?? ?????? ???? ?? ??????? ?? ??? ????	FAKE
137	???? ???? ?? ??? ?? ??? ???? ??? ??? ??? ??? ???? ????? ?? ????? ?? ?? ?? ????? ????? ??? ??????? ?? ????? ???? ???? ?? ?????? ???? ??? ??? ??? ???? ?????? ?? ???? ???? ???? ?? ??? ????? ?????	FAKE
138	?? ???? ?? ??? ?? ?? ?? ?? ?? ????? ?? ???? ???? ?? ???? ???? ???? ??? ??? ????? ??? ?? ??? ??? ??? ?? ????? ?? ???	FAKE
139	??? ???? ?? ??? ??? ???? ?? ?? ?? ??? ????? ??? ??? ?? ?? ????? ??? ??? ??????? ????? ??? ??? ?? ??? ???? ?????? ????? ?? ????????? ?? ???? ???? ???? ?????? ?? ???? ??? ??? ???? ????? ?? ????? ??	FAKE
140	"?? ?? ???? ???? ?? ??? ?? ??? ??? ??? ??? ??? ?? ?? ??? ????? ?? ???? ???? ????? ??? ?? ???? ???? ????? ??? ??? ?? ?? ????? ?? ?? ???? ???? ?? ??? ?? ?? ????? COVID-19 ??? ????? ??? ????? ?? ?????? ???? ???? ???? ??? ???? ????? ?? ????? ?? ???? ???? ?? ????? ??? ??? ????? ?? ????? ???? ???"	FAKE
141	???? ????? ?? ??? ?? ??? ????? ??? ?? ?? ????? ????? ????? ?? ???? ????? ???? ???? ??? ??? ???? ???? ???? ?? ?? ????? ???? ?? ???? ??? ??? ??? ???? ????? ?? ????? ??? ???? ???? ????? ????? ?? ????????? ????? ???? ????	FAKE
142	??? ???? ?? ????? ??? ?? ?????? ?? ??? ?? ?? ?? ??? ????? ?? ??????? ?? ????? ????? ??? ?? ??? ????? ??? ?? ??? ?? ??? ?? ???? ????? ?? ???? ??? ???? ?? ?? ?? ?? ???? ??? ???? ???? ????	FAKE
143	??? ??? ????? ??? ??? ?? ???? ????? ?? ????? ???? ???? ????? ??? ?? ??????? ??? 2020 ??? ???? ??? ??????? ?? ??? ?? ?? ????? ??? ????? ???? ?? ??????? ?? ????? ????? ?????? ????? ??? ??? ???? ????? ?? ????? ???	FAKE
144	"""?? ??? ?? ??? ???? ??????? ?? ??? ?? ????? ??? ????? ???? ?? ??? ??????? ???? ?? ??? ???? ??? ??? ?? ??? ?? ?? ??? ????? ???? ??? ?????? ?? ?? ???? ?? ??? ???? ??? ????? ???? ?? ??? ??? ?? YDA ????? ?? ????? ?? ?????? ?? ???? ???? ??? ???? ?? ?? ??? ?? ?? ???? ????? ?? ???? ??? ?? ?? ?? ?? ???? ??? ??? ???? ?? ?? ?????? ???? ?? COVID-ve ????"" ?????? ????? ?? ???? ???? ?? ???? ???? ????? ?????? ???? ?? ????"	FAKE
145	"????? ??? ?? ??? ????? ?? ??????? ??? ???? ????? ??? ???? ?? ????? ?? ???"	FAKE
146	"????????? ????? ?? ???? ?? ????? ?? ?????? ??? ????? ?? ????? ?? ????? ??? ??? ???? ??? ??????? ????? ????? ??? ???? ????? ????? (5 ??????? ????? ??? ?? ?????? ???) ???? ?????? ?? ??? ??? ???? ?????? ????? ?? ????? ??? ???"	FAKE
147	??? ??? ??????? ??????? ?? ???? ??? ????? ????? - ???? ????????? ?? ?? ???? ?? ????	FAKE
148	???????? ????? ??? ?? ????? ?? ????? ?? ????? ??? 21 ?????? ?? ???? ????? ?? ???? ??? ??? ????? ?? ?? ??????? ?? ??? ????	FAKE
149	??? ????? ??? ?? ?? 3 ????? ????? ?? ????? ??? ??? ????? ???? ???? ??????? ?? ????? ????? ??? ?? ???? ???? ??????? ???? ?? ????	FAKE
150	????? ????? ?? ?? ??? ??? ?? ?? ?????? ???? ???? ?? ????? ?? ??? ????????? ???? ?? ??? ??? ?? ????? ???? ?? ??? ???? ????????? ???? ??? ???? ????? ????? ?? ???? ???? ??? ?? ?? ???? ????? ?? ???	FAKE
151	"??? ??? ??????? ????? ??? ?? ???? ???????? ?? ??????? ?? ?? ??? ????? ??? ?? ???? ???? ????? ??? ??- ?? ??? ????? ???? ????? ???? ???????? ??????? ?? ???? ????? ????? ???? ???? ????"	FAKE
152	?? ?? ??? ?? ??? ?? ???? ????? ????? ?? ??? ???? ??? ?? ?? ??? ?? ?????? ??? ?? ???? ????? ??? ????? ?? ??? ?? ?? ???? ?? ???	FAKE
153	?????? ?? ???? ??????'??? ?? ????!'	FAKE
154	'?? ?? ???? ?? ???? ?? ??? ??? ?? ??? ????? ??????' (???? ???? ????? ?? ???? ?????? ?? ???????? ???? ??? ???? ???? ??? ?????? '??? ???' ??? ????? ???? ??)	FAKE
155	"?? ???? ???? ???"	FAKE
156	????? ????? ??? ???? ???	FAKE
157	?? ???? ?? ??? ?? ??? ???? ???? ????? ?????	FAKE
158	????? ????? ?? ?????? ???? ??? ??? ?? ???? ????? ???? ???? ??? ?????? ???? ?????? ??? ???? ?????	FAKE
159	???? ?????? ???? ???? ?????? ?? ??? ?????? ??? ??? ??? ?? ??? ???? ??? ??? ???? ?? ????? ???? ???	FAKE
160	?? ?? ????? ???? ??? ?? ?????? ?? ?????? ??? ?? ??? ?? ???? ?? ???? ???	FAKE
161	?? ????? ??? ??????? ??? ???? ???? ????? ???? ???? ?? ????? ??? ?? ?? ????? ?? ??? ????? ???? ?? ???? ?? ??? ???? ?? 150 ?? ????? ????? 19 ?????? ?? ???? ??? ???	FAKE
162	???? ??? ?????? ???? ???? ???? ?? ??? ??? ?? ?????? ????? ???? ?????? ?? ???? ?? ????? ???? ???? ??? ??????? ??? ???????? ??????? ?? ????? ???? ??? ?? ?? ????? ??? ?? ??? ?? ??? ????? ??? ????? ?? ??? ?? ???? ?? ?? ???	FAKE
163	????? ??????????? ?? ???? ????? ?? ???? ??? ???? ?? ?? ?? ?? ???? ?? ???? ????? ?? ????? ?? ????? ??? ?? ??? ?? ?? ??? ??? ?? ?? ?? ???? ???????? ????? ?? ??? ??? ????	FAKE
164	??? ????? ???? ???????? ????? ???? ?? ??? ???	FAKE
165	9 ??? ?? ?????? ?? ????? ???????? ??? ????? ??? ?? ?? ??? ??? ??? ??? ???? ?? ???? ????	FAKE
166	??????? ??? ????? ??? ????? ??? ???? ???	FAKE
167	??????? ?? ???? ?? ???? ????? ?? ???????? ???? ????? ??? ????? ??????? ?????? ?? ????? ????? ???	FAKE
168	????? ??? ?? ???? '?? ???' ?? ???? ?????	FAKE
169	????? ????? ??? ??? ??? ??? ??? ??? ?? ???? ?????? ???? ???? ???? ???? ???	FAKE
170	????? ????? ????? ????? ??? ?? ??? ?? ????? ???? ?? ???	FAKE
171	??????? ?? ??? ????? 2021 ?? ??? ???? ?????? ?? ????? ??? ???	FAKE
172	???????? ?????? ???? ??????? ??? ???? ?????? ??? ?? ??? ???	FAKE
173	????? ???? ???? ???? ?? ????? ?? ???? ?????? ???? ???? ???? ?? ??????? ?? ??? ???? ?? ????	FAKE
174	???? ??? ????? ?? ????? ??? ????? ??? ?? ???? ??? ??? ????	FAKE
175	????? ???? ?? ???? ?????? ??? ??? ???? ?? ???? ????? ?????	FAKE
176	??????? ????? ??? ?? ???? ???? ???? ??? ???? ????? ???? ???	FAKE
177	???? ?? ?????? ????? ??????? ?? ????? ??? ?? ???? ?????? ?? ???? ?? ????? ?? ???	FAKE
178	????? ??? ??? ????? ???? ?? ??????? ?? ????? ?????	FAKE
179	???? ??? ? ?? ????? ????? ???? ?? ????? ???? ???? ?????	FAKE
180	????? ????? ????? ?????? ??? ??? ?????? ?? ?????	FAKE
181	??????? ??? ?????? ?? ?????? ?? ?? ??? ???	FAKE
182	????? ??? ?? ???? ?? ??? ????? ????? ??? ??????? ???	FAKE
183	??? ?? ????? ????? ???? ?? ??????? ?? ???? ?????? ????????? ?? ????	FAKE
